Place_Id,Place_Name,Description,Category,City,Price,Rating,Description_Clean,Fitur_Gabungan,Tipe_Wisata,Time_Minutes
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,Jakarta,20000,46.0,monumen nasional populer singkat monas tugu monas monumen ingat meter kaki diri kenang lawan juang rakyat indonesia rebut merdeka perintah kolonial hindia belanda bangun monumen tanggal agustus perintah presiden soekarno buka umum tanggal juli tugu mahkota lidah api lapis lembar emas melambang semangat juang nyala nyala monumen nasional letak tengah lapang medan merdeka jakarta pusat,monumen nasional populer singkat monas tugu monas monumen ingat meter kaki diri kenang lawan juang rakyat indonesia rebut merdeka perintah kolonial hindia belanda bangun monumen tanggal agustus perintah presiden soekarno buka umum tanggal juli tugu mahkota lidah api lapis lembar emas melambang semangat juang nyala nyala monumen nasional letak tengah lapang medan merdeka jakarta pusat budaya jakarta,Budaya,60
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,0,46.0,kota tua jakarta nama kota tua pusat alun alun fatahillah alun alun ramai tunjuk rutin tari tradisional museum sejarah jakarta bangun era belanda lukis barang antik museum wayang pamer boneka kayu khas jawa desa glodok chinatown kenal makan kaki pangsit mi goreng dekat sekunar kapal tangkap ikan labuh sunda kelapa kuno,kota tua jakarta nama kota tua pusat alun alun fatahillah alun alun ramai tunjuk rutin tari tradisional museum sejarah jakarta bangun era belanda lukis barang antik museum wayang pamer boneka kayu khas jawa desa glodok chinatown kenal makan kaki pangsit mi goreng dekat sekunar kapal tangkap ikan labuh sunda kelapa kuno budaya jakarta,Budaya,60
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,270000,46.0,dunia fantasi dufan hibur letak kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi buka tanggal agustus,dunia fantasi dufan hibur letak kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi buka tanggal agustus taman hiburan jakarta,Taman Hiburan,60
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Taman Hiburan,Jakarta,10000,45.0,taman mini indonesia indah kawasan taman wisata tema budaya indonesia jakarta timur area luas hektare kilometer persegi letak koordinat ls bt,taman mini indonesia indah kawasan taman wisata tema budaya indonesia jakarta timur area luas hektare kilometer persegi letak koordinat ls bt taman hiburan jakarta,Kebun/Taman,60
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,Jakarta,94000,45.0,atlantis water adventure kenal atlantis ancol suguh tualang wisata air lupa wisata tema main air luas hektar sensasi tualang kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean lokasi kawasan ancol jakarta baycity atlantis pilih destinasi pas wisata renang,atlantis water adventure kenal atlantis ancol suguh tualang wisata air lupa wisata tema main air luas hektar sensasi tualang kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean lokasi kawasan ancol jakarta baycity atlantis pilih destinasi pas wisata renang taman hiburan jakarta,Taman Hiburan,60
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,25000,45.0,taman impi jaya ancol objek wisata jakarta utara,taman impi jaya ancol objek wisata jakarta utara taman hiburan jakarta,Kebun/Taman,60
7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,Jakarta,4000,45.0,kebun binatang ragunan kebun binatang letak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas hektare diri tahun dalam koleksi spesies spesimen nragunan tutup minggu september hewan hewan dalam infeksi flu burung buka oktober kebun binatang milik spesies hewan langka kakatua orangutan gorila anoa gajah,kebun binatang ragunan kebun binatang letak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas hektare diri tahun dalam koleksi spesies spesimen nragunan tutup minggu september hewan hewan dalam infeksi flu burung buka oktober kebun binatang milik spesies hewan langka kakatua orangutan gorila anoa gajah cagar alam jakarta,Kebun/Taman,60
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau._x000D_",Taman Hiburan,Jakarta,180000,4.0,ocean ecopark salah zona rekreasi ancol tawar ruang buka hijau alam lupa sisi didik unjung agam aktivitas wahana seru main rekreasi keluarga outbondholic rumah energy rumah lebah kano paintball outbondholic eco market learning farm eco bike faunaland rencana wisata ocean eco park ancol khawatir harga tiket masuk harga tiket ocean eco park tawar harga jangkau,ocean ecopark salah zona rekreasi ancol tawar ruang buka hijau alam lupa sisi didik unjung agam aktivitas wahana seru main rekreasi keluarga outbondholic rumah energy rumah lebah kano paintball outbondholic eco market learning farm eco bike faunaland rencana wisata ocean eco park ancol khawatir harga tiket masuk harga tiket ocean eco park tawar harga jangkau taman hiburan jakarta,Taman Hiburan,60
9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,Jakarta,175000,44.0,labuh marina ancol kawasan taman impi jaya ancol jakarta labuh dermaga marina ancol kawasan perlu seberang kembang wisata air olahraga air wahana main fungsi utama labuh layan tumpang seberang pulau ribu jakarta jadi kepulaun ribu tuju wisata utama libur pulau ribu hilang penat kota metropolitan sembari nikmat indah pantai jaga marina ancol jakarta utara lengkap alamat kota tua ancol pademangan kota jakarta mudah pusat kota transportasi umum jasa transportasi online,labuh marina ancol kawasan taman impi jaya ancol jakarta labuh dermaga marina ancol kawasan perlu seberang kembang wisata air olahraga air wahana main fungsi utama labuh layan tumpang seberang pulau ribu jakarta jadi kepulaun ribu tuju wisata utama libur pulau ribu hilang penat kota metropolitan sembari nikmat indah pantai jaga marina ancol jakarta utara lengkap alamat kota tua ancol pademangan kota jakarta mudah pusat kota transportasi umum jasa transportasi online bahari jakarta,Pantai/Bahari,60
10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,Jakarta,150000,45.0,pulau tidung salah lurah camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia,pulau tidung salah lurah camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia bahari jakarta,Pantai/Bahari,60
